time_s,speed_mps,acc_mps2,force_N,motor_rpm,motor_torque_Nm
55.0,19.944444444444443,0.2347883597883602,754.6386888470025,5713.662456999043,25.932600991305925
56.0,20.166666666666664,0.218915343915344,731.1377661838626,5777.324434235799,25.12500914721177
57.0,20.38888888888889,0.2003968253968262,703.1780840850985,5840.986411472559,24.164195329384825
58.0,20.555555555555554,0.17658730158730274,665.3685711552048,5888.732894400127,22.864899352412536
59.0,20.75,0.15740740740740813,635.9013135300938,5944.437124482291,21.85227881546714
60.0,20.88888888888889,0.15476190476190563,633.6638808112889,5984.225860255266,21.77539109317144
61.0,21.02777777777778,0.17460317460317504,669.669037515984,6024.014596028239,23.012681701580206
62.0,21.222222222222225,0.20370370370370322,722.3502621604931,6079.718826110403,24.823033063934467
63.0,21.444444444444446,0.22552910052909989,763.1585626895933,6143.380803347161,26.225380161154405
64.0,21.72222222222222,0.2420634920634909,795.952710011021,6222.958274893108,27.35232680450244
65.0,21.916666666666668,0.2645502645502632,837.4960817840586,6278.662504975271,28.779934081926406
66.0,22.194444444444446,0.2903439153439144,886.1334879789447,6358.23997652122,30.451322610960297
67.0,22.527777777777775,0.3333333333333325,965.040940690585,6453.732942376355,33.16291892407508
68.0,22.88888888888889,0.3869047619047616,1062.5212601763665,6557.183655386089,36.51275808166208
69.0,23.25,0.4179894179894181,1121.8759815195108,6660.63436839582,38.55243922747459
70.0,23.722222222222225,0.4259259259259259,1144.035953132716,6795.916070023934,39.313950279474774
71.0,24.166666666666664,0.4093915343915346,1124.2447233267198,6923.240024497447,38.633839289578
72.0,24.527777777777775,0.3571428571428582,1042.293400611223,7026.690737507178,35.81764263268807
73.0,24.86111111111111,0.29761904761904956,947.5362387726003,7122.183703362315,32.56138277569073
74.0,25.13888888888889,0.26190476190476375,892.24938361387,7201.761174908265,30.661490845837452
75.0,25.36111111111111,0.23875661375661442,857.2828956509051,7265.423152145022,29.459893321336942
76.0,25.61111111111111,0.22817460317460303,844.2731451962079,7337.042876536374,29.012822858976214
77.0,25.833333333333332,0.2275132275132273,847.6161849669309,7400.704853773133,29.127703950753634
78.0,26.055555555555554,0.2169312169312173,834.132740434304,7464.366831009892,28.66435534138501
79.0,26.277777777777775,0.19973544973545032,809.4445047200186,7528.028808246649,27.815962361512664
80.0,26.47222222222222,0.19179894179894283,799.9605986932337,7583.7330383288145,27.490054937911808
81.0,26.63888888888889,0.19246031746031836,804.5440197249795,7631.479521256383,27.64756081529139
82.0,26.833333333333332,0.19378306878306875,810.855731792328,7687.183751338545,27.8644581371934
83.0,27.055555555555557,0.19576719576719562,818.9083988999116,7750.845728575305,28.141182092780465
84.0,27.249999999999996,0.1984126984126986,827.5321082390876,7806.549958657467,28.437529492752148
85.0,27.416666666666668,0.20039682539682543,834.4655185565477,7854.2964415850365,28.675791015688926
86.0,27.63888888888889,0.20833333333333368,852.7385453202168,7917.958418821794,29.30373007973253
87.0,27.86111111111111,0.22023809523809518,877.7961988916445,7981.62039605855,30.164817831327987
88.0,28.083333333333332,0.22685185185185103,893.8977385300913,8045.282373295309,30.71813534467667
89.0,28.305555555555557,0.24140211640211573,923.5299367223313,8108.944350532069,31.73642394234815
90.0,28.555555555555554,0.2671957671957662,972.9341182451483,8180.564074923421,33.43416213900853
91.0,28.833333333333332,0.29431216931216864,1025.261486025131,8260.14154646937,35.23235347165399
92.0,29.166666666666664,0.32275132275132296,1081.1630302050269,8355.634512324505,37.15336873556793
93.0,29.47222222222222,0.34060846560846614,1118.5218600027565,8443.16973102505,38.437177319682355
94.0,29.833333333333336,0.3492063492063499,1141.507058511906,8546.620444034781,39.227046684257935
95.0,30.194444444444443,0.3538359788359793,1157.8481403598994,8650.071157044511,39.78859588865633
96.0,30.52777777777778,0.3458994708994708,1152.265652330798,8745.564122899648,39.59675781205491
97.0,30.88888888888889,0.32936507936507997,1132.8238887477964,8849.014835909382,38.92865597071465
98.0,31.194444444444443,0.31216931216931326,1111.0040500821226,8936.550054609923,38.17883333615541
99.0,31.5,0.28835978835978954,1078.0137939616422,9024.085273310466,37.045147558819316
100.0,31.77777777777778,0.2632275132275143,1042.1576411287497,9103.662744856414,35.81297735837627
101.0,32.02777777777778,0.24007936507936622,1009.0391932699536,9175.282469247766,34.67488636666507
102.0,32.25,0.20568783068783172,956.155395606814,9238.944446484524,32.85757373219291
103.0,32.44444444444444,0.174603174603176,908.2272247266337,9294.648676566689,31.210557550743424
104.0,32.611111111111114,0.14682539682539855,865.2420166247825,9342.395159494257,29.73340263315404
105.0,32.69444444444444,0.09920634920635023,786.4162838784189,9366.26840095804,27.02461456626869
106.0,32.833333333333336,0.030423280423281355,673.0415415806895,9406.057136731017,23.12857531205118
107.0,32.80555555555555,-0.0548941798941783,527.2893580186313,9398.099389576419,18.119909210262247
108.0,32.69444444444444,-0.1501322751322731,362.5406225027593,9366.26840095804,12.458440635833652
109.0,32.5,-0.21693121693121456,244.0286849669353,9310.56417087588,8.38586546278128
110.0,32.25,-0.24272486772486648,193.85380830522703,9238.944446484524,6.661642897086839
